content,Positive,Neutral,Negative,Sentiment
强行加入的温情戏有些流水线里东拼西凑的感觉，,0.39672686,,0.60327314,negative
3.5题材值得关注只是深度不够对于没有了“根”的年轻人来说可能难以去把握这种温情但从另一方面来说值得反思究竟我们失去了什么仅仅只是一栋栋古建筑吗,0.46630534,,0.53369466,negative
温情版罗伊·安德森。,0.58260353,,0.41739647,positive
有温情有感动，,0.73098202,,0.26901798,positive
但在两岸三地华语发音交汇的呈现版本中仍带来了华语电影几乎绝迹的温情展示。,0.57907175,,0.42092825,positive
本想最后能够洗白渣男属性但是最后是用另一条温情线掩盖了这条线但不管怎么样，,0.31983107,,0.68016893,negative
也欠缺大气节制的温情，,0.50024691,,0.49975309,positive
淡淡的温情。,0.60709594,,0.39290406,positive
1星给电影的温情。,0.50493124,,0.49506876,positive
两岸三地旷日持久的复杂问题又何尝是能靠温情脉脉的洒鸡汤来解决的呢,0.50324213,,0.49675787,positive
有港味又没把香港的酸臭生活味拍进来格局也做得很大想谈的东西也很多虽然有一些交代不清两岸三地的三个女人带来的故事其实挺有地域特征也很有普世价值台湾人的娇嗔香港人的人情大陆人的传统华人的内敛都拍到了比海街什么都不讲来得好演员都特别好从老到小从主到配每一个女演员都让我特别感动两个小时有足够的戏点给她们发挥撑起人物最后几幕喷薄而上的温情非常煽人超现实和穿插的回忆戏也很棒真的很好,0.52474448,,0.47525552,positive
sammi最温情的片子了！,0.67688629,,0.32311371,positive
非常温情的电影，,0.61164818,,0.38835182,positive
虽然剧情上有点强行温情的意思，,0.4856755,,0.5143245,negative
挺温情的电影,0.70999356,,0.29000644,positive
很快乐又很温情。,0.73057687,,0.26942313,positive
但这种温情生活流已经被《横道世之介》拍成顶峰了，,0.56754702,,0.43245298,positive
标准的日式温情片，,0.58485831,,0.41514169,positive
仿佛又见平成时代的温情，,0.49829653,,0.50170347,negative
最后说“为什么全家福没有爸爸因为爸爸是拍照的那个”这里着实感动了一大把家里面总有人在无声付出这个看似大颠大肺的人只不过是用他喜欢的拍照这种方式在爱着家里人我想这部有笑有泪的温情片大抵就是想告诉我们一家人最重要的还真是整整齐齐。,0.56107197,,0.43892803,positive
家庭就是风雨同舟、和谐包容、琐碎温情的小确幸。,0.60019794,,0.39980206,positive
）依旧是日影常见拿手的治愈温情路数，,0.56685808,,0.43314192,positive
非常治愈的日系温情片，,0.59447062,,0.40552938,positive
细腻日式温情,0.72865164,,0.27134836,positive
真是温情又可爱，,0.70170357,,0.29829643,positive
太刻意的温情了,0.59412319,,0.40587681,positive
它那些搞怪和温情的瞬间都平添了几分感染力。,0.55213907,,0.44786093,positive
家的温情，,0.50035397,,0.49964603,positive
至少不是那类会让人反感的日式温情剧，,0.33029349,,0.66970651,negative
实话说霓虹的温情家庭片太多了，,0.61861607,,0.38138393,positive
温情感动好笑,0.73105787,,0.26894213,positive
温情生活流，,0.51766371,,0.48233629,positive
日式温情，,0.50096648,,0.49903352,positive
就是这种温情啊,0.51068517,,0.48931483,positive
讲家庭和亲人的温情，,0.50389144,,0.49610856,positive
温情的事，,0.5003055,,0.4996945,positive
温情的去拍，,0.5077254,,0.4922746,positive
只有温情满满的细水长流。,0.72588816,,0.27411184,positive
日式温情信手拈来的故事。,0.55276663,,0.44723337,positive
我抱着看温情父女家庭片的准备，,0.55718326,,0.44281674,positive
一种丧气又压抑的温情,0.30325915,,0.69674085,negative
凯西用他的丧风格为父亲的角色注入了更坚定的温情。,0.57996155,,0.42003845,positive
但父亲和女孩的演绎却让其充满温情和温度，,0.57326595,,0.42673405,positive
展示的全是父女之间的的温情及扶持，,0.54504937,,0.45495063,positive
剧情无非是换了背景下的温情片，,0.50074492,,0.49925508,positive
跳过漫长的温情情节，,0.55508026,,0.44491974,positive
有胡子姐姐温情相伴，,0.62050723,,0.37949277,positive
其实就是奇幻包装下的温情表达，,0.50952961,,0.49047039,positive
最后编程的儿子跟编程里的父亲通话又见面堪称用电影／科幻温情的极致。,0.53811709,,0.46188291,positive
带点小小的温情加幽默，,0.67610176,,0.32389824,positive
有一些温情部分也是挺感人的,0.72665874,,0.27334126,positive
温情电影。,0.66203573,,0.33796427,positive
作为一个温情小故事，,0.49007262,,0.50992738,negative
平平满满的温情煽情。,0.65815315,,0.34184685,positive
这片子虽然说走的文艺温情片路线，,0.65462496,,0.34537504,positive
穿插的提琴高音总能在仅有温情时刻后把人拉回紧张残酷的现实。,0.2916592,,0.7083408,negative
却也架不住这种冷酷下的温情。,0.40668739,,0.59331261,negative
插科打诨的同时不忘温情，,0.5028797,,0.4971203,positive
有正义也有温情。,0.51661276,,0.48338724,positive
结局也稍微温情了一点。,0.66789496,,0.33210504,positive
但是很温情！,0.7278202,,0.2721798,positive
适合圣诞节看的温情家庭剧,0.57860136,,0.42139864,positive
喜剧型温情家庭吃好喝好穿好的其乐融融圣诞片儿,0.73084402,,0.26915598,positive
铁锈带只剩下邻里亲朋的质朴温情，,0.58098945,,0.41901055,positive
在隐秘之处发生的大人与孩子之间的温情故事，,0.50993371,,0.49006629,positive
3.5瞄一眼阵容就能猜出又是一部温情脉脉的养眼、善意的英伦小片，,0.5468427,,0.4531573,positive
带着反战主题的温情向同性爱情片，,0.51801277,,0.48198723,positive
二战背景下的温情故事,0.52396593,,0.47603407,positive
是一部温情的英国电影，,0.53780619,,0.46219381,positive
很温情的电影，,0.5315822,,0.4684178,positive
又一个用暖心融化坚冰的温情故事，,0.63515412,,0.36484588,positive
孩子和鸟儿在沙滩最温情的画面，,0.54847378,,0.45152622,positive
温情满满。,0.71563582,,0.28436418,positive
很难对这种温情戏产生好感，,0.35412155,,0.64587845,negative
蛮温情的不过所有鸟类没长毛的时候都真是不好看呀,0.37235779,,0.62764221,negative
披上温情的外衣，,0.51651559,,0.48348441,positive
有父子温情、有倡议环保、有对偷猎的唾弃，,0.44426284,,0.55573716,negative
男孩与鹈鹕温情隽永,0.66274568,,0.33725432,positive
很温情的电影。,0.61442654,,0.38557346,positive
却被这部小众但温情脉脉的电影打动了，,0.53597071,,0.46402929,positive
很温情的一部片子感动,0.7295578,,0.2704422,positive
温情伤感的人与动物的故事。,0.39578422,,0.60421578,negative
拍得很温情，,0.50145796,,0.49854204,positive
对于这种人与动物的温情动画简直毫无抵抗能力！,0.43974783,,0.56025217,negative
但也是一部低成本却让人感觉温情的电影。,0.5941841,,0.4058159,positive
像是绿草导演拿了个科恩兄弟的本子习惯了以往快速凌厉紧张的节奏突然拍了一部慢悠悠的西部公路片还真有点不适应主线是个艰难的护送任务内核还是人与人之间在乱世下互相取暖的温情摄影不错,0.49493438,,0.50506562,negative
本质上还是一部美式的西部冒险温情片，,0.53755563,,0.46244437,positive
荒野中缓慢流淌的温情。,0.49497698,,0.50502302,negative
唯独少了他的温情、她的不同、他和她的相遇与相伴的，,0.54033875,,0.45966125,positive
好莱坞一贯的温情片该有的西部枪战也没少这类角色对汤姆汉克斯来说十拿九稳。,0.52011852,,0.47988148,positive
很多女性作者都会选择以一种温情的方式讲述故事，,0.51509025,,0.48490975,positive
但这已经不是温情，,0.47302118,,0.52697882,negative
被这种正义和温情的小故事感动。,0.70121542,,0.29878458,positive
老人与小女孩之间的温情，,0.51917707,,0.48082293,positive
这次身兼道义传播者和生命守护者的汉克斯用他的正义凛然和脉脉温情将绿草导演一贯的凌厉迅猛都化解于无形之中了。,0.50936879,,0.49063121,positive
如此温情，,0.50254817,,0.49745183,positive
但温情难免让人一笑。,0.55727167,,0.44272833,positive
温情,0.72919194,,0.27080806,positive
还是亲情温情的一面,0.70832701,,0.29167299,positive
有温情；后半段是围绕暗杀、感化和反抗展开的ZZ斗争情节，,0.52867784,,0.47132216,positive
能看出他对片中温情段落的把控，,0.42628754,,0.57371246,negative
但主体还是比较生活和温情，,0.54251943,,0.45748057,positive
一个家庭传递一种温情。,0.59458308,,0.40541692,positive
狗狗带来的温情还是很催泪。,0.42833738,,0.57166262,negative
依旧有小温情小治愈。,0.59674647,,0.40325353,positive
绿皮书到一只狗的使命2…温情不失感动…值得去看！,0.68936124,,0.31063876,positive
对于喜欢宠物或喜欢温情故事的朋友，,0.73046893,,0.26953107,positive
温情偏偏可以千百遍融化你，,0.53640306,,0.46359694,positive
放在国内妥妥烂片家庭温情剧，,0.47236842,,0.52763158,negative
虽然延续了招魂系列的温情结局戏码，,0.5819111,,0.4180889,positive
而且有谨记温子仁的温情核心。,0.51925397,,0.48074603,positive
但是没有第二部那种非常打动人的温情时刻作为铺垫，,0.49928058,,0.50071942,negative
输在太温情,0.70590386,,0.29409614,positive
整体还挺温情的~,0.73046655,,0.26953345,positive
非常希区柯克《惊魂记》🖤2.扭曲的长廊很《卡里加里博士的小屋》🪞3.然而到头来是温情片，,0.51396602,,0.48603398,positive
TrueLoveStory🙆🏻‍♀️挑染男孩温子仁彻底走温情恐怖路线了，,0.481114,,0.518886,negative
导演塔兰蒂诺的温情反思之作。,0.55847502,,0.44152498,positive
"没料到是这么温情的buddycomedy/恐怕是pulpfiction以来最佳发挥/60年代LA街景真的奇观/发胖的小李像jackblack/SpahnRanch一场绝妙/狗逼又把全部女主的脚都拍了一遍/""Don'tcryinfrontoftheMexicans""",0.42107004,,0.57892996,negative
一部现实主义讽刺喜剧警匪温情的电影。,0.48042644,,0.51957356,negative
最后的温情还可以。,0.72009644,,0.27990356,positive
罗美兰女士饰演的美善这个角色让这部片在温情搞笑和滥俗之间抓住了重心，,0.6359117,,0.3640883,positive
我竟然更喜欢胖东贤…搞笑太多反而让温情的片段变得有些歪了。,0.59475184,,0.40524816,positive
从头到尾这么温情脉脉，,0.50789894,,0.49210106,positive
他表现出的所谓“温情”是人类单方面感情作用的产物，,0.51308735,,0.48691265,positive
韩国电影这种温情脉脉的梗总是能击中双鱼座的我。,0.49280561,,0.50719439,negative
乡村丧尸温情喜剧,0.52067704,,0.47932296,positive
温情版《釜山行》，,0.52806111,,0.47193889,positive
温情都留于小细节处,0.71331282,,0.28668718,positive
可是从韩国擅长的温情转战喜剧很显然没达到效果，,0.5384297,,0.4615703,positive
结局强行温情，,0.48867305,,0.51132695,negative
是刺穿最后一层温情帘幕的利刃，,0.48579023,,0.51420977,negative
温情戏也不像狗咬狗时候的煽情了。,0.34784051,,0.65215949,negative
中间加了一堆温情正能量行业暖意之类的元素，,0.59233018,,0.40766982,positive
中间加了一些温情的小段落。,0.46493727,,0.53506273,negative
加上东野这则用温情勾兑的推理故事比较水，,0.40350701,,0.59649299,negative
但有种温情，,0.50489725,,0.49510275,positive
一般温情片吧就。,0.54242026,,0.45757974,positive
家庭温情电影，,0.52874625,,0.47125375,positive
很喜欢这种温情的片子，,0.73088935,,0.26911065,positive
挺温情的爱情剧，,0.50347856,,0.49652144,positive
温情又正向，,0.55565963,,0.44434037,positive
一般的温情电影，,0.506709,,0.493291,positive
浪漫温情。,0.52415877,,0.47584123,positive
美式玛丽苏温情鸡汤剧＋工具人转正记，,0.53957543,,0.46042457,positive
很温情,0.7301653,,0.2698347,positive
挺温情的爱情剧，,0.50347856,,0.49652144,positive
很成熟的美国温情片，,0.60886054,,0.39113946,positive
以为是温情家庭片儿，,0.51741096,,0.48258904,positive
这个故事本身就足够温情和动人了。,0.54222942,,0.45777058,positive
就足以用真诚和温情打动人心。,0.72941836,,0.27058164,positive
导演以充满温情的视角关注着患有“失读症”的少数族群。,0.49266139,,0.50733861,negative
温情不断，,0.50029527,,0.49970473,positive
自编自导了这部温情电影，,0.55287514,,0.44712486,positive
胡安导演用很真实朴素的手法创造这部温情片，,0.70385538,,0.29614462,positive
拍得温情也蛮有趣的。,0.71566046,,0.28433954,positive
台式特有的文艺、温情，,0.51944097,,0.48055903,positive
人间哪里有那么多温情在呢？,0.56607507,,0.43392493,positive
温情、有趣和悲剧色彩并重。,0.55491493,,0.44508507,positive
gayicon部分的故事很温情，,0.52806785,,0.47193215,positive
温情嘛温吞的，,0.52087249,,0.47912751,positive
恐怖温情还行,0.30338849,,0.69661151,negative
但也有温情的部分，,0.50386024,,0.49613976,positive
当这个形容枯槁的老人的眼神变得和善和温情时，,0.52005382,,0.47994618,positive
本以为只是部温情文艺片，,0.53844254,,0.46155746,positive
为啥不直接拍成温情治愈系，,0.51539942,,0.48460058,positive
搞笑又温情。,0.53095812,,0.46904188,positive
可以放给小朋友看的清水温情僵尸片，,0.66223756,,0.33776244,positive
小惊喜又小温情，,0.71049944,,0.28950056,positive
"这片真逗,特别是小外甥装成黑武士.前面笑点比较多,到丧尸出来后笑点就少了,改走温情路线,女老师全力以赴保护孩子们,大卫后来也加入进来,终于在尤克里里的乐声下众人一起度过了难关.儿童作为丧尸题材的主角还是很少见的,总体不错,7分",0.54886856,,0.45113144,positive
后面就变成温情真善美了，,0.65696226,,0.34303774,positive
温情与人性，,0.53534975,,0.46465025,positive
最后温情脉脉亲情爱情结尾……,0.61284177,,0.38715823,positive
温情搞笑丧尸片哈哈哈，,0.72938232,,0.27061768,positive
温情的部分太生硬尴尬了。,0.42105416,,0.57894584,negative
算是典型的日式温情，,0.50337298,,0.49662702,positive
还是很温情的，,0.61787252,,0.38212748,positive
但是延续了日剧一贯温情和细腻,0.5249586,,0.4750414,positive
温情中透着一丝压抑，,0.53393841,,0.46606159,positive
温情满满的儿童食堂。,0.71095093,,0.28904907,positive
但这部是温情版，,0.50542467,,0.49457533,positive
常见温情片路线不算有亮点吧，,0.54532658,,0.45467342,positive
典型日本温情电影，,0.50693996,,0.49306004,positive
算是典型的日式温情。,0.5087912,,0.4912088,positive
难得带有一抹诙谐和温情。,0.54269162,,0.45730838,positive
本片更难得的是那份对人生的关怀和温情。,0.5647657,,0.4352343,positive
以及韩国的温情。,0.5049019,,0.4950981,positive
强行温情设计的拟人化狗狗公路片，,0.47698565,,0.52301435,negative
很温情的一部电影，,0.52690174,,0.47309826,positive
温情为主，,0.5633166,,0.4366834,positive
温情公路片每隔一段时间就会来一次。,0.55772981,,0.44227019,positive
很温情、治愈的电影，,0.51962875,,0.48037125,positive
叔叔给了Buck温情与基情，,0.56470057,,0.43529943,positive
拍成了温情小喜剧……,0.68941268,,0.31058732,positive
很温情的电影啊！,0.67936899,,0.32063101,positive
当成狗狗温情片来看还不错，,0.72908784,,0.27091216,positive
多展示了世间温情与美好，,0.60020429,,0.39979571,positive
永远拒绝不了温情线,0.60534061,,0.39465939,positive
改编的很温情典型美式大片的感动和大爱，,0.70746981,,0.29253019,positive
挺温情的,0.71190678,,0.28809322,positive
但是为了效果和美式鼓舞温情鸡汤还是可以把狗把狼按在地上摩擦的桥段拍得合情合理的。,0.66934274,,0.33065726,positive
虽然没看过杰克·伦敦这部作品（可能片段读过）但也知主题不会这么温情和谐化地浮浅。,0.64670232,,0.35329768,positive
迪士尼版的温情之作，,0.55839719,,0.44160281,positive
让他们喜欢上这么一个温情、励志的蛮荒世界。,0.71215218,,0.28784782,positive
温情和悲情也不够，,0.27609928,,0.72390072,negative
明日边缘温情版。,0.58293494,,0.41706506,positive
温情的部分硬汉柔情的确让人心软，,0.61768947,,0.38231053,positive
一场漫长、繁琐、时而撕得很难看时而又充满温情的美国式离婚，,0.41423201,,0.58576799,negative
离婚之后的温情脉脉……,0.52223502,,0.47776498,positive
有种（温情的？,0.54619867,,0.45380133,positive
热络温情得好像全然无关冷酷，,0.52090797,,0.47909203,positive
温情又锋利。,0.53121398,,0.46878602,positive
有温情，,0.50097476,,0.49902524,positive
只是恰到好处的温情电影怎么就不能入你们法眼。,0.47206945,,0.52793055,negative
可他所传递出的温情，,0.58068648,,0.41931352,positive
只剩刻意的温情。,0.50027879,,0.49972121,positive
又变成温情片，,0.58452955,,0.41547045,positive
挺搞笑又温情的喜剧电影,0.71260534,,0.28739466,positive
底层小人物充满温情的艰辛奋斗史，,0.66638217,,0.33361783,positive
搞笑和温情两不沾,0.58670467,,0.41329533,positive
这种组合家庭真的是人间最平凡的温情，,0.58929506,,0.41070494,positive
这个电影直接亮出了喜剧片题材身份于是所有的不合理都体现出了反差感的幽默而且武打动作这是比龙虾刑警要好多了值得一提的是《极限职业》里几个主演（特别是组长抱着老婆哭那一场）演技都杠杠的正能量之余又温情满满在韩国高票房于是也就情理之中了。,0.67104824,,0.32895176,positive
轻松、温情，,0.66071471,,0.33928529,positive
内里还是有老粤语片时代的家庭温情，,0.5208231,,0.4791769,positive
市井的苦难和温情也有独特的魅力，,0.48368993,,0.51631007,negative
主打港式温情，,0.50322412,,0.49677588,positive
可惜温情不够。,0.27110699,,0.72889301,negative
