__label__like , 逃狱 好看 片子
__label__nlike , 心灵 呼唤 自我 信仰
__label__nlike , 事情
__label__nlike , 男人 触动
__label__like , 我会
__label__like , 好看 真的
__label__like , 生命 最深 考究
__label__like , MiniSD TLF http www verycd topics 2803261
__label__like , 浅白 励志
__label__like , 无感
__label__like , 忠于 原作 电影
__label__like , 一遍 第二遍
__label__like , 这部 越狱 越狱 肯定 失望
__label__like , 值得 一看再看
__label__nlike , 自由 高于 生命
__label__nlike , 经典 复制
__label__nlike , 生活 五百
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__like , 病人 渴望 活着 好好 活着 惧怕 生活
__label__nlike , 国产片 红歌
__label__nlike , 传闻中 好看
__label__like , 励志 电影 浓浓的 温情 感觉 在我心中 教父 经典
__label__like , 感触 阿甘正传 喜欢 肖申克 喜欢 阿甘
__label__like , 导演 尊重 原著 作者 斯蒂芬 主人公 独具匠心 计谋 像是 丑陋 社会 一记 响亮 耳光 极具 讽刺 意味
__label__nlike , 传闻中 好看
__label__like , hope good thing things
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__like , 经典
__label__like , 学期 全班同学 心理 电影 下课 依旧 不舍 坐在 位置 屏幕 活着 信念 满满的 充斥 内心 早就 四面 铜墙 人生 希望 伴着 绝望 那要 救赎 了结
__label__nlike , 男人 触动
__label__like , 喝酒 误事 戒掉 狱友 同事 屋顶 冰镇 啤酒 阳光 那种 自由 美好 害怕
__label__nlike , 经典 境界 提升
__label__like , 
__label__like , 天才 银行家 意外 发现自己 绿帽子 失手 老婆 奸夫 关进 监狱 大人 冤枉 监狱 开启 大神 模式 监狱长 逃税 漏税 狱友 精神 文化 生活 基友 斗智斗勇 监狱 一把 鹤嘴锄 日夜 凿壁 风雨交加 夜晚 成功 越狱 励志
__label__like , 希望 可怕 东西 打败 可怕 武器
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__like , 怯懦 囚禁 灵魂 希望 感受 自由 强者 自救 圣者 渡人
__label__nlike , 生活 五百
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__like , 9.2
__label__nlike , 信念
__label__nlike , 男人 触动
__label__nlike , 
__label__like , 
__label__nlike , 解救
__label__like , 酣畅淋漓
__label__nlike , Your friend Andy
__label__like , 名气 大于 实力 值得一看 片子 情节 不乏 精彩 片段
__label__nlike , 喜欢 摩根 弗里
__label__like , 奥斯卡 金光闪闪 一届 可惜 肖申克 遇上 阿甘 多项 提名 一无所获 也许 有人 公平 只能 生不逢时
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__like , 电影 要酷 制作 规模 超级 节奏快 太多 一部 电影
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__nlike , 希望 事情
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 很难 找到 恰当 词语 形容 这部 片子 沉默 感叹 这部 片子 REDEMPTION HUMAN BEINGS
__label__like , 经典 东西 我要 坟墓
__label__nlike , 好片 解释
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__nlike , 地方 落下 泪来
__label__like , 男孩 一点 夸张
__label__like , 关乎 友情 信念 故事 故事 挫折 Get busy living busy dying
__label__like , 信念 永远 战胜
__label__nlike , 希望 事情 希望
__label__like , 活着 希望 一点 当老布 自杀 回到 监狱 度过 剩余 日子 当安迪 终于 美好 真的 希望 快乐 勇敢 活下去 失意 想起 片子 想起 努力 想尽办法 脱身 冲出重围 真的 励志
__label__like , 第一次 稀里哗啦
__label__like , 好莱坞 模式 典范 之作
__label__nlike , 看过 几个 演员 厉害
__label__like , 越狱 震撼
__label__nlike , hope good thing
__label__like , 无冕之王 影片 经典 品质 毋庸置疑 imdb 豆瓣 高居榜首 稍感 不解
__label__nlike , hope good thing
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__like , 小时 一刻 未曾 浪费 世界 人忙 美好 消逝 希望
__label__like , 没得说
__label__like , 终于 imdb No.1 片子
__label__like , 后续 片子 前瞻
__label__nlike , hope good thing
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 1995 诞生 佳作 一年
__label__like , 当年 奥斯卡 颁奖礼 如日中天 阿甘正传 掩盖 光彩 时间 推移 这部 电影 越来越 心中 地位 超越 阿甘 现实 疲惫 无力感 翻出 这张 重获 力量 毫无疑问 本片 位列 男人 必看 电影 前三名 回顾 一段 经典台词 羽翼 光辉 世界 黑暗 牢狱 长久 围困
__label__like , 喜欢
__label__like , 1994 台湾 引进 一部 卖座 老片 The Sting 译成 刺激 1995 本片 上映 片商 剧情 刺激 类似 地方 高智商 复仇 译成 刺激 1995 1998 一部 片子 Return To Paradise 含有 牢狱 情节 译成 刺激 1998
__label__nlike , 传闻中 好看
__label__like , 救赎 之道
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__like , 美国 阿甘 他会 奥斯卡 舞台 阿甘高 0.5
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__like , 蒂姆 罗宾斯 仰天 大叫 电影 行将 结束 弗里 蒂姆 相聚 终点 充满 情义
__label__like , 同学 拼命 推荐
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__like , 越狱 抄袭 成分 可真多
__label__nlike , 看过 几个 演员 厉害
__label__nlike , 
__label__nlike , 
__label__like , hope tale
__label__like , 不愧为 经典
__label__nlike , 经典 境界 提升
__label__like , 浓缩 精华版 越狱 讨论 东西 越狱 值得 深思
__label__nlike , 国产片 红歌
__label__like , 好看 震撼
__label__nlike , 信念
__label__like , Your redemption 上帝 见证 希望 永不 毁灭
__label__like , 天助 自助
__label__like , 真的 很棒
__label__like , 终于 清白 影片 意义 糟糕 环境 永远 美好 向往
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__like , 2006
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__like , 终于 这部 影片 列入 IMDB 第一 位置 自由 希望 人类 亘古 话题 一位 清白 无辜 金融界 大展宏图 银行家 喜欢 这类 剧情片 教父 系列 并入 剧情片
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__like , 大爱
__label__nlike , 喜欢 救赎
__label__like , Hope good thing thing
__label__like , Get busy living busy dying
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 经典
__label__like , 
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__like , 记得 阿甘正传 一块
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__nlike , 确实 经典
__label__like , 一部 经久不衰 霸占 排行榜 理由
__label__like , 言语 浮云 膜拜 Morgan Freeman
__label__like , 值得 思考 一部 电影
__label__like , 绝望 寻找 希望 人生 终将 辉煌 ------ 新东方 这句 合适
__label__like , 经典
__label__nlike , 希望 事情 希望
__label__nlike , 自作聪明
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 经典 影响 一批 世界观 人生观
__label__like , 做人 必看
__label__like , 越狱 电影版 剧情 单一
__label__nlike , 希望 事情
__label__nlike , 
__label__nlike , 经典 复制
__label__nlike , 自由 高于 生命
__label__like , 一部 充满 智慧 电影
__label__nlike , 解救
__label__like , 太精彩
__label__nlike , 经典 境界 提升
__label__nlike , Your friend Andy
__label__nlike , Your friend Andy
__label__nlike , 
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__nlike , 希望 事情 希望
__label__like , 终于 如愿 喜欢 自由 希望 友谊
__label__like , 理解 那种 不想 监狱 感觉
__label__like , 神作
__label__like , 经典 经典
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__like , 代表 电影 电影
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__nlike , 
__label__nlike , 真的 喜欢 好看 感觉
__label__like , busy living busy dying 我下 半辈子 开个 140727 重看
__label__like , 絕對 經典 之作 大愛
__label__nlike , 大众 经典 感冒 欣赏 水平 不行
__label__like , 隐忍 布局 一触即发 翻盘 讨酒 写信 广播 几个 事件 男主 内敛 思绪 窥见一斑 全片 精彩 积压 一种 自由 渴望 冲破 狭隘 牢笼 海阔天空 结局 美好 片中 上吊 老爷子 早已 磨灭 希望 消极 典型 意在 男主
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__like , 精彩
__label__nlike , 
__label__nlike , 
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , hope good thing
__label__like , 坏事 人进 监狱 监狱 坏事
__label__nlike , 自作聪明
__label__nlike , 国产片 红歌
__label__like , 男人 勇往直前 
 自由 偏执 追求
__label__like , 摩根 弗里 是从 这部 电影
__label__like , 
__label__nlike , 名字
__label__like , 朋克 枪杀 那一刻
__label__like , 这是 一部 男人 必看 电影 性别 区分 电影 狭隘 肖申克 救赎 突破 男人 电影 局限 通篇 充满 令人 难以置信 温馨 基调 电影 主题 希望 
 无奈 肖申克 囚禁 心灵 自由 那种 囹圄 无奈 布鲁克 灰心 瑞德 智慧 安迪 智慧 信任 希望 勇敢 面对 恐惧心理 打败 
 经典 电影 经典 一件 角度 欣赏 希望 美好
__label__like , 电影史 巅峰 之作
__label__nlike , 国产片 红歌
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__like , great
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__nlike , 自作聪明
__label__like , 希望 可怕
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 片儿 落仔 片儿 确实
__label__like , 小龙 这部 电影 还会 流泪
__label__nlike , 
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__like , 六星
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__like , Hope good thing
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__like , 意志力 力量
__label__like , 生存
__label__like , 恐惧 沦为 囚犯 希望 重获 自由 肖申克 救赎
__label__nlike , 生活 五百
__label__nlike , 确实 经典
__label__like , 越狱 前身
__label__like , 姐妹 那段 体制 阐述
__label__nlike , 自由 高于 生命
__label__like , 每次 感觉
__label__nlike , 生活 五百
__label__like , 监狱 电影 登峰造极
__label__like , 久仰 盛名 片子 每部 环环相扣 计划 太妙了 计划 动机 导火索 最赞 happy ending Red redemption 缩写 象征 身和心 救赎 解放 Salvation lay Get busy living busy dying 海洋 木屋 棋盘 伴儿 惬意
__label__like , Never Give Up 大道理 抓进 监狱 越狱 很难 加油
__label__like , 感人 电影 完整 看过 四遍 安迪 下水道 出后 水里 仰天长啸 瞬间 泪奔
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 没什么 信念 动摇
__label__nlike , 喜欢 摩根 弗里
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__like , 喜欢 感觉 片子
__label__like , freeman
__label__nlike , 不错 该是 IMDB 排名 第一 电影 刺激 1999 港译 只能
__label__like , 豆瓣 排名 第一 电影 
 基督山 伯爵 教育 书籍
__label__like , 自我 救赎 唯一 出口 感叹 知识 改变命运
__label__nlike , 希望 事情 希望
__label__nlike , 希望 东西
__label__nlike , 看过 几个 演员 厉害
__label__nlike , 国产片 红歌
__label__nlike , 
__label__like , 天下大同 PS 停留 前去 相逢 车子 远去 背影 拍出 重遇 相拥
__label__like , 自由 向往 力量 强大
__label__like , 经典 电影 不用 结局 深感 震撼 震撼 之余 满满的 崇拜 景仰 一部 电影
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__like , 真的
__label__nlike , 好片 解释
__label__like , 当年 越狱 一部 越狱
__label__like , 太牛
__label__like , Hope good thing
__label__like , WAS HERE
__label__nlike , 国产片 红歌
__label__like , 经典 反复 品味 安迪 生活 自由 充满 向往 出狱 新生 早已 习惯 监狱 生活 瑞德 变得 麻木 出狱 死亡
__label__nlike , 名字
__label__like , freedom 理由 百看不厌
__label__nlike , 大智大勇
__label__like , hope set free
__label__nlike , 自作聪明
__label__like , 好看 经典 羽翼 光辉 世界 黑暗 牢狱 长久 围困
__label__like , Get busy living busy dying
__label__nlike , 传闻中 好看
__label__nlike , 完美 诠释 大众 审美 经典影片
__label__like , N年 看过 震撼 说不出 电影
__label__nlike , 
__label__like , 鸟儿 关不住 羽毛 艳丽
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__like , 更好
__label__like , 交代 交代 黑暗 不错 主旋律 狱警 做好 Bug 监狱 检查 工作
__label__like , 镜头 经典
__label__like , 
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__nlike , 看过 几个 演员 厉害
__label__nlike , 事情
__label__like , 越狱
__label__nlike , 希望 事情 希望
__label__like , 希望 自由
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__nlike , 国产片 红歌
__label__nlike , 喜欢 摩根 弗里
__label__nlike , 
__label__like , 人格 洗礼 成人 必看
__label__like , 电影版 prison break
__label__nlike , 看过 几个 演员 厉害
__label__like , 看过 真的 无话可说
__label__nlike , 
__label__nlike , 
__label__like , 善非 善恶 非所恶 肖申克 囚牢 囚禁 同化 扭曲 安迪 运气 不好 阴差阳错 替罪羊 监狱 经历 绝望 完罪 黑钱 逃税 法制 漏洞 瑞德 图书馆 那场 对话 清清白白 压抑 本片 高潮 汤姆 枪杀 安迪 越狱 时间 希望
__label__like , 坚韧不拔 逆境 闪耀着 人性 光辉
__label__nlike , 明明 勇敢 心式 狗血
__label__nlike , 
__label__like , 镜头
__label__like , 这部 真的 经典 经典 故事 构架 剧情 演员 演绎 完美 作品 发人深思
__label__nlike , 心灵 呼唤 自我 信仰
__label__nlike , Your friend Andy
__label__like , top1 片子 有种 畅快 感觉 越狱 抄袭 嫌疑
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__nlike , 事情
__label__like , 深深 回味 电影
__label__like , 越狱 即视感
__label__like , 美国 大片 直面 人性 直面 真实 社会
__label__like , 剧本
__label__like , 奥斯卡 扯淡
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 确实 经典
__label__like , 希望 自由
__label__nlike , 事情
__label__like , 碧海 蓝天 木船 面朝 大海 春暖花开
__label__like , 一瞬间
__label__nlike , hope good thing
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__like , 只能 好看
__label__like , 2002.3 DVD 
 2007.7 DVD home 
 2008.8 CCTV6
__label__nlike , 明明 勇敢 心式 狗血
__label__nlike , 
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__like , 越狱 教父
__label__like , 
__label__like , 推荐 这部 人太多 星半
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 一般般
__label__like , 每次 感受 便是 经典
__label__like , 精典 女主角
__label__like , 羽翼 光辉 世界 黑暗 牢狱 长久 围困
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , thought Shawshank run jail At end movie escape make scared patience plan power realization dream Nice Shawshank nice
__label__like , 多年 第一次 记住 institutionalized
__label__like , 踏上 未知 旅途 自由人
__label__like , 压抑 释放
__label__nlike , 好片 解释
__label__like , 輸給 傻子 超人
__label__nlike , 信念
__label__like , 高中 时期 励志
__label__nlike , 大智大勇
__label__like , 厉害 骗术 时间
__label__like , Keep busy living busy dying
__label__like , 神片 膜拜
__label__nlike , 明明 勇敢 心式 狗血
__label__like , 看一遍 身在曹营心在汉 想着 一众 婊子 斗法
__label__like , hope
__label__nlike , 希望 东西
__label__nlike , 明明 勇敢 心式 狗血
__label__like , 古人类 渴望 自由
__label__like , 肖申克 救赎
__label__like , 肖申克 救赎 内心 救赎
__label__like , 越狱 鼻祖
__label__like , 过不去 坎儿
__label__like , 经典 经典
__label__nlike , 
__label__like , 
__label__nlike , 假释 地方 心愿 第一次 妻子 约会 地方 一棵 橡树 盒子 挖出来 时个
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__nlike , 心灵 呼唤 自我 信仰
__label__like , 自由 希望 经典
__label__like , 希望 东西
__label__nlike , 希望 事情 希望
__label__nlike , 自由 高于 生命
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__like , 宽容 理智 聪明
__label__nlike , 名字
__label__like , 内心 坚强 信念
__label__like , 肖申克 一部 商业片
__label__nlike , 
__label__like , 信念 力量
__label__like , 震撼 很大 不愧 经典
__label__nlike , hope good thing
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__like , 不愧为 经典 一颗 至善 自由 万世 糜烂 澄明 无瑕 Hope good thing things good thing dies 无论是 安迪 神秘 笑容 一幕 碧海 蓝天 平静 令人 屏息 难于 忘怀
__label__nlike , 心灵 呼唤 自我 信仰
__label__nlike , 
__label__like , 太牛 故事 大于 形式 旁白 显俗 方式 厉害
__label__nlike , 心灵 呼唤 自我 信仰
__label__like , 看过 电影
__label__like , freedom
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__like , 无限 希望 无限 隐忍
__label__like , 不错 不错 值得
__label__nlike , 好奇 这部 过度 赞誉 地步
__label__nlike , 地方 落下 泪来
__label__like , 看看书
__label__nlike , 一般般
__label__nlike , 传闻中 好看
__label__like , 神化 电影 值得 五星
__label__like , 生命 是从 洞穴 通往 世界 世界 颤抖 hope
__label__nlike , 大智大勇
__label__nlike , 传闻中 好看
__label__like , 总算 Brooks 自杀 泪奔 institutionalize 无奈 压力 时间 专心 梦想 奋斗 希望
__label__nlike , 自由 高于 生命
__label__like , 不好 四星
__label__like , 
__label__like , 看过 影片 深刻 自由 精神
__label__nlike , 硕大 阶梯教室 精彩 电影 那份 震撼 激动 历历在目
__label__nlike , 喜欢 摩根 弗里
__label__nlike , 确实 经典
__label__nlike , 大智大勇
__label__like , 军训
__label__nlike , 
__label__nlike , 明明 勇敢 心式 狗血
__label__nlike , Your friend Andy
__label__like , 自由 不懈 追求 坚不可摧 信念 真挚 深厚 友情 振奋人心 电影 经典 容错过
__label__like , 野心 一种 打倒 身上 东西 野心 想要 好好 羽毛 闪光 野心
__label__nlike , 事情
__label__like , 终于 结局 俗套 抵不住
__label__like , 这部 电影 明白 hope 镜头 那片 兰色 海洋 历历在目 
 douban
__label__nlike , 
__label__like , 更好
__label__like , 本片 感冒
__label__nlike , 经典 复制
__label__nlike , 自作聪明
__label__like , 题材 楷模
__label__nlike , 信念
__label__nlike , 解救
__label__nlike , 明明 勇敢 心式 狗血
__label__nlike , 
__label__nlike , 虚假 巧合 当作 精妙 突兀 后果 使人 惊叹 启发 脱离 决绝
__label__like , 
__label__nlike , 经典 境界 提升
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 忍耐 执念
__label__nlike , 基督山 伯爵 完美 变奏 体制 主题 永远 上班族 遍看 配乐 bbm Trailer 害得 穿越
__label__like , Fear hold prisoner hope set free strong man save great man save
__label__nlike , 影视 鉴赏 好处 没看 电影
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 心灵 呼唤 自我 信仰
__label__nlike , 喜欢 摩根 弗里
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__like , 讨厌 监狱 习惯 足够 时间 依赖 体制
__label__nlike , 真的 喜欢 好看 感觉
__label__like , 信念 强大 力量
__label__like , 第一部 心中 经典 爱上 电影
__label__like , 至少 忠于
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__like , 原著 小说 更会 故事 展示 希望 不灭 经典 经典
__label__like , 印象 影响 最深 一部 电影 一部 值得 思考 人生 电影
__label__like , 也许 看着 沉闷 发现 优美 一部 电影
__label__like , Hope good thing things good thing dies
__label__nlike , 喜欢 摩根 弗里
__label__nlike , 解救
__label__like , 经典 越狱 鼻祖
__label__like , 力荐
__label__like , 希望 自由 注释
__label__nlike , Your friend Andy
__label__nlike , 希望 事情
__label__like , 绿帽子 冷静
__label__like , 经典 一看再看 几天 看一遍
__label__like , 成功 具备 才华 毅力 自由 永恒 渴望
__label__like , 悲惨 过程 痛苦 结局 欢乐
__label__like , 心中 前三甲
__label__nlike , 好评 不差
__label__like , 酣畅淋漓 铭刻 于心 榜单 第一名
__label__like , 逃出来 大雨 狂吼 一幕 真的 震撼 这是 自由
__label__nlike , 国产片 红歌
__label__nlike , Your friend Andy
__label__nlike , 类型 想要 感人 挺难 一点 不觉 震撼
__label__like , 不公 方法 自暴自弃 努力 改变 不公 对手 痛击
__label__nlike , 解救
__label__like , 越狱 电影版
__label__like , 文艺 青年装 指南
__label__like , 喜欢 电影 每次 情绪低落 总会
__label__like , 史上 电影
__label__nlike , 好评 不差
__label__like , 2008.10 寝室 越狱
__label__like , 梦想 从来不 提起 强大 梦想 战胜 证明
__label__like , 中文 譯名 刺激
__label__nlike , 名字
__label__like , 监狱 生活 残酷 缺点
__label__like , 经典 经典
__label__nlike , 解救
__label__nlike , 真的 喜欢 好看 感觉
__label__nlike , 好评 不差
__label__nlike , 原來 那個 鏡頭 這部 電影 總算 imdb 最高分 電影 評分 給了
__label__like , 越狱 电影版
__label__like , 跑出去 确实 激动
__label__like , 记住 希望 好事 也许 人间 至善 美好 永不 消失
__label__nlike , hope good thing
__label__nlike , 心灵 呼唤 自我 信仰
__label__like , 生活
__label__like , 怀有 希望 品质 无辜者 遭受 最多 平等
__label__like , 知识 改变命运 告诉
__label__nlike , hope good thing
__label__like , 本片 溢美之词 形容 希望 强有力 注释 剧中 安迪 所说 鸟儿 被关 笼子 心目 top
__label__nlike , 要命 电影 音乐 
 要命 故事 编剧
__label__like , 实际上 证明 安迪 在场 意图 证明 安迪 有罪 司法 团只 逻辑 忽视 逻辑 人类 历史 活动 通达 真相 疑点 搁置 真相 搁置 执法者 真的 符合 正义 貌似 正义
__label__like , Hope good thing things good thing dies 振奋 年前 哥哥 看过 一遍 印象 体会 酣畅淋漓 铭刻 于心 鸟儿 羽翼 光辉 注定 囚困
__label__nlike , 经典 复制
__label__nlike , 自作聪明
__label__nlike , 一般般
__label__like , 绝望
__label__like , 挺棒 喜欢
__label__like , 一种 闲庭信步 优雅 身居 一种 自我 信念 外界 添加 变得 微不足道
__label__like , 绝望 里长 希望 带来 无限 勇气
__label__like , 下水道 逃出去 真的 震撼 男主对 自由 执念 克服 监狱 学习 外面 世界 脱轨 从容 面对 监狱 小小 世界 主宰 学习 学到老 活到老
__label__like , 
__label__nlike , 茫然失措 内心 暖暖的 冲动
__label__like , 真的 电影 主人公 智慧 赢得 自由 善良 聪明 毅力 逃过 命运 不公
__label__nlike , 国产片 红歌
__label__like , 喜欢 电影
__label__like , 这肖 申克 囚禁 整代人
__label__like , prison break
__label__like , 很久很久 收藏 这张 海报
__label__nlike , 名字
__label__nlike , 地方 落下 泪来
